Feedback ID,Source,Feedback Text,Date Submitted
F001,App Store Review,Great app but needs dark mode. Using it at night hurts my eyes. Otherwise love the features!,2024-01-15
F002,In-App Feedback,The new update broke the export feature. Can't download my reports anymore. Please fix ASAP.,2024-01-16
F003,Email,Just wanted to say thank you for building such an amazing product. It's transformed how we handle customer feedback.,2024-01-17
F004,Twitter,@ProductLogik your pricing is too high for startups. Any plans for a cheaper tier?,2024-01-18
F005,App Store Review,Crashes every time I try to upload a large CSV file. Very frustrating!,2024-01-19
F006,In-App Feedback,Love the AI insights! They're spot on and save me hours of manual analysis.,2024-01-20
F007,Support Ticket,Need API access to integrate with our internal tools. When will this be available?,2024-01-22
F008,Email,The mobile app is way too slow. Takes 30 seconds just to open the dashboard.,2024-01-23
F009,App Store Review,Best feedback analysis tool I've used. Highly recommend to any product manager!,2024-01-25
F010,In-App Feedback,Would be great to have team collaboration features. Want to share insights with my team.,2024-01-26
F011,Twitter,@ProductLogik why does the app keep logging me out? So annoying!,2024-01-28
F012,Support Ticket,Billing issue - was charged twice this month. Please refund the duplicate charge.,2024-01-30
F013,Email,The tutorial videos are super helpful! More content like this would be appreciated.,2024-02-01
F014,In-App Feedback,Dashboard charts are hard to read. Need better color contrast and labels.,2024-02-03
F015,App Store Review,Good product but the learning curve is steep. Needs better onboarding.,2024-02-05
F016,Twitter,@ProductLogik any plans to add Slack integration? Would be a game changer!,2024-02-07
F017,Support Ticket,Data from my upload yesterday is not showing up. Can you investigate?,2024-02-09
F018,Email,Excellent customer support! Your team helped me resolve my issue in minutes.,2024-02-11
F019,In-App Feedback,Need more export options - Excel and CSV would be very useful.,2024-02-13
F020,App Store Review,The app is okay but competitors offer more features for the same price.,2024-02-14
